batapa2,Bar-throated Apalis
nartro1,Изумрудный трогон
battro1,Полосатохвостый трогон
blbfly1,Черноклювый мухолов
tacfly1,Охристогрудый мухолов
souwhi1,Белолицый арлекин
cowscj1,Калифорнийская сойка
flsjay,Флоридская сойка
mexjay3,Ультрамариновая сойка
unijay1,Одноцветная сойка
mexjay4,Мексиканская сойка
wooscj2,Невадская сойка
thtray1,Шипохвостая райадито
t-11139707,Honey Bee
samsta1,Самоанский скворец
brwsta1,Соломоновский скворец
metsta1,Металлический скворец
molsta1,Молуккский скворец
micsta1,Микронезийский скворец
asgsta1,Красноглазый скворец
polsta1,Полинезийский скворец
rewpar1,Краснокрылый попугай
kinpen1,Королевский пингвин
nibkiw1,Северный киви
litswi1,Малый стриж
comswi,Чёрный стриж
whrswi1,Кафрский стриж
alpswi1,Alpine Swift
houswi1,Домовый стриж
fotswi,Белопоясный стриж
palswi3,Бледный стриж
plaswi1,Одноцветный стриж
spaeag1,Испанский могильник
goleag,Беркут
impeag1,Орёл-могильник
steeag1,Степной орёл
grgmac,Зелёный ара
baymac,Сине-жёлтый ара
ragmac1,Зеленокрылый ара
bltmac1,Синегорлый ара
scamac1,Красный ара
milmac,Солдатский ара
chfmac1,Каштановолобый ара
yeespi1,Желтоухая пауколовка
thbspi1,Толстоклювая пауколовка
spespi2,Очковая пауколовка
litspi1,Длинноклювая пауколовка
strspi1,Пёстрая пауколовка
runwor1,Рыжешейный саракура
rnwrai1,Рыжегрудый саракура
gycwor1,Серошейный саракура
sbwrai1,Лесной саракура
brwrai1,Бурый саракура
giwrai1,Гигантский саракура
limpki,Арама
gocpar2,Златошапочная аратинга
janpar1,Яндая
bkhpar,Черноголовая нандая
duhpar,Буроголовая аратинга
whcpar1,Белощёкая лесная куропатка
babpar1,Пестробокая лесная куропатка
taipar1,Тайваньская лесная куропатка
rebpar5,Борнейская лесная куропатка
chbpar1,Яванская лесная куропатка
chbpar2,Красногрудая лесная куропатка
rutpar1,Красногорлая лесная куропатка
hilpar1,Воротничковая лесная куропатка
bkchum,Александров колибри
rthhum,Рубиновогорлый колибри
greegr,Большая белая цапля
graher1,Серая цапля
cocher1,Южноамериканская цапля
grbher3,Большая голубая цапля
integr,Средняя белая цапля (intermedia)
blhher1,Черноголовая цапля
purher1,Рыжая цапля
grbher2,Большеклювая цапля
bulshe,Буллеров буревестник
flfshe,Бледноногий буревестник
pifshe,Розовоногий буревестник
sooshe,Серый буревестник
wetshe,Клинохвостый буревестник
shtshe,Тонкоклювый буревестник
chpher1,Белокрылая цапля
inpher1,Индийская прудовая цапля
squher1,Жёлтая цапля
japher1,Малайская прудовая цапля
rudtur,Камнешарка
blktur,Чёрная камнешарка
grearg1,Аргус
yebbab1,Желтоклювая дроздовка
combab3,Длиннохвостая дроздовка
strbab1,Пёстрая дроздовка
lagbab2,Большая дроздовка
junbab2,Джунглевая дроздовка
rufbab3,Малабарская дроздовка
shegre1,Рифтовый бюльбюль
stcgre1,Пестроухий бюльбюль
easmog1,Рифтовый бюльбюль (nigriceps)
blcspa2,Черношапочный тохи
sthbrf8,Серобровый тохи
sthbrf1,Черноголовый тохи
orbspa1,Оранжевоклювый тохи
sthbrf4,Сантамартийский тохи
ccbfin,Каштановоголовый тохи
olifin1,Оливковый тохи
sthbrf3,Костариканский тохи
soffin1,Темнолиций тохи
sabspa1,Желтоклювый тохи
safspa1,Францисканский тохи
sthbrf5,Перихский тохи
gowspa1,Тохи-монах
hacspa1,Полуошейниковый тохи
pecspa1,Ошейниковый тохи
sthbrf2,Белобровый тохи
gsbfin1,Зеленобровый тохи
grbspa1,Зеленоспинный тохи
blsspa1,Чернополосый тохи
olispa,Зеленоватый тохи
tocspa1,Токуйский тохи
frimon1,Очковый воротничковый монарх
blfwoo1,Масковый артм
duswoo1,Белокрылый артам
ashwoo2,Серый артам
whbwoo4,Белобрюхий артам
maswoo1,Чернолицый артам
whbwoo5,Белобровый артам
belspa2,Шалфейная овсянка
sagspa1,Полынная овсянка
afrtai2,Красноголовый апалис
