bulshe,Bullers Pijlstormvogel
flfshe,Australische Grote Pijlstormvogel
pifshe,Chileense Grote Pijlstormvogel
sooshe,Grauwe Pijlstormvogel
wetshe,Wigstaartpijlstormvogel
shtshe,Dunbekpijlstormvogel
chpher1,Chinese Ralreiger
inpher1,Indische Ralreiger
squher1,Ralreiger
japher1,Javaanse Ralreiger
rudtur,Steenloper
blktur,Zwarte Steenloper
grearg1,Argusfazant
yebbab1,Geelsnavelbabbelaar
combab3,Gewone Babbelaar
strbab1,Gestreepte Babbelaar
lagbab2,Malcolms Babbelaar
junbab2,Junglebabbelaar
rufbab3,Roodrugbabbelaar
shegre1,Shelley-buulbuul
stcgre1,Streepwang-buulbuul
easmog1,Oostelijke Grijskeelbuulbuul
blcspa2,Kapucijnergors
sthbrf8,Grijsbrauwstruikgors
sthbrf1,Zwartkopstruikgors
orbspa1,Goudsnavelgors
sthbrf4,Bangs' Struikgors
ccbfin,Bruinkapstruikgors
olifin1,Olijfgroene Struikgors
sthbrf3,Costaricaanse Struikgors
soffin1,Dikbekstruikgors
sabspa1,Saffron-billed Sparrow
safspa1,São-Franciscogors
sthbrf5,Perijástruikgors
gowspa1,Goudvleugelgors
hacspa1,São-Paulostruikgors
pecspa1,Olijfruggors
sthbrf2,Streepkopstruikgors
gsbfin1,Groenkapstruikgors
grbspa1,Groenruggors
blsspa1,Panamagors
olispa,Olijfgors
tocspa1,Tocuyugors
frimon1,Witbuikfranjemonarch
blfwoo1,Zwartteugelspitsvogel
duswoo1,Blauwvleugelspitsvogel
ashwoo2,Grijze Spitsvogel
whbwoo4,Witborstspitsvogel
maswoo1,Maskerspitsvogel
whbwoo5,Wenkbrauwspitsvogel
belspa2,Bells Gors
sagspa1,Nevadagors
afrtai2,Roodkapsnijdervogel
lobtai1,Moreaus Snijdervogel
thbwar1,Diksnavelrietzanger
whmtyr1,Witkopwatertiran
soogra2,Zwartborstgrondvink
ducgra2,Bruine Grondvink
strowl1,Gestreepte Ransuil
sheowl,Velduil
jamowl1,Jamaicaanse Uil
loeowl,Ransuil
styowl1,Grote Ransuil
bltmot1,Blauwkeelmotmot
auscan1,Vuurlandcanastero
shbcan1,Kortsnavelcanastero
ocbthi1,Okerbrauwdistelstaart
crbcan1,Roodbuik-canastero
mascan1,Jardines Canastero
whcthi1,Witkindistelstaart
mocthi1,Grijze Distelstaart
bltthi1,Zwartkeeldistelstaart
punthi1,Punadistelstaart
maqcan1,Iquicocanastero
hudcan1,Hudsons Canastero
sttcan1,Streepkeelcanastero
sctcan1,Vlekstaartcanastero
corcan1,Andescanastero
itaspi1,Itatiaiastekelstaart
rufcan1,Gartepps Canastero
eyrthi1,Oogringdistelstaart
perthi1,Perijádistelstaart
cancan1,Canyoncanastero
shbcan2,Kleine Canastero
puncan1,Puna Canastero
lifcan1,Urubambacanastero
juncan1,Juníncanastero
stbcan1,Streeprugcanastero
peptyr1,Bleekoogdwergtiran
