redava,bengalik czerwony
unicra1,chruścielak jednobarwny
isabuh1,bagiewnik rdzawobrzuchy
rutbuh1,bagiewnik szaropierśny
whbwat1,bagiewnik białopierśny
blusee1,indygówka jasna
blbsee3,indygówka ciemna
honeme1,szmaragdzik honduraski
cinhum1,szmaragdzik cynamonowy
rtlhum,szmaragdzik brązowosterny
bubhum,szmaragdzik jukatański
amahum1,szmaragdzik zielony
bufpar,amazonka niebieskoczelna
blbpar1,amazonka mała
whfpar1,amazonka białoczelna
orwpar,amazonka modrobrewa
yenpar1,amazonka żółtoszyja
relpar,amazonka zmienna
retpar1,amazonka płomiennosterna
blcpar2,amazonka niebieskolica
meapar,amazonka skromna
fespar1,amazonka czerwonoczelna
licpar,amazonka liliowogłowa
kawpar1,amazonka białolica
cubpar1,amazonka kubańska
scnpar1,amazonka zielona
ywcpar,amazonka żółtogłowa
yehpar,amazonka żółtogardła
rebpar7,amazonka tęczowa
tucpar1,amazonka żółtouda
hispar1,amazonka czarnoucha
vinpar1,amazonka pąsowa
recpar,amazonka krasnogłowa
yelpar1,amazonka żółtokantarowa
bratea1,amazonetka
yebcac1,atłasokacyk żółtodzioby
t-11838680,Clicker Round-winged Katydid
t-11851326,Common Virtuoso Katydid
t-11845584,Oblong-winged Katydid
t-11854789,Rattler Round-winged Katydid
golbow1,Golden Bowerbird
growea1,brunatniczka
schbla1,starzykowiec szkarłatny
yebspa1,preriówek żółtolicy
graspa1,preriówek białobrody
graspa,preriówek plamisty
batlar1,skowronik rudawy
deslar1,skowronik piaskowy
rutlar2,skowronik rdzawy
gybant1,ściółkowczyk szarobrzuchy
sstspa,bagiennik ostrosterny
lecspa,bagiennik prążkogłowy
seaspa,bagiennik żółtoczelny
nstspa,bagiennik płowy
scafru1,owocojad kusy
reccot1,andowiec czarniawy
chccot1,andowiec obrożny
gyhant1,andomrowiniec
bktspa,wąsatek czarnogardły
fisspa,wąsatek białobrody
whbfog1,liściowiec białobrewy
obfgle2,liściowiec ochrowy
rutfog1,liściowiec rudosterny
mofgle1,liściowiec okularowy
stfgle1,liściowiec łuskoszyi
ducfog1,bambuśnik białobrzuchy
wcfgle1,bambuśnik obrożny
abttyr1,czuprynek peruwiański
ybttyr1,czuprynek żółtodzioby
bkctit1,czuprynek czarnoczuby
tuttyr1,czuprynek czubaty
pcttyr1,czuprynek rogaty
norpin,rożeniec
spetea3,cyraneczka andyjska
chetea1,cyraneczka kasztanowata
gnwtea,cyraneczka
mexduc,krzyżówka meksykańska
yebtea1,cyraneczka żółtodzioba
motduc,krzyżówka florydzka
yebpin1,rożeniec żółtodzioby
gretea1,cyraneczka australijska
mallar3,krzyżówka
isbduc1,kaczka pstrodzioba
ambduc,brązówka
pabduc1,kaczka pacyficzna
yebduc1,kaczka żółtodzioba
hawduc,krzyżówka hawajska
spbduc,kaczka chińska
asiope1,kleszczak azjatycki
t-11847882,Say's Trig
t-11140103,American Toad
t-11050888,Yosemite Toad
t-11100978,Great Plains Toad
t-11132206,Fowler's Toad
t-11153124,Houston Toad
t-11160924,Arizona Toad
t-11107100,Oak Toad
t-11051816,Texas Toad
t-11045871,Southern Toad
t-11105570,Woodhouse's Toad
chwhoo1,rdzawczyk kreskowany
gybmot1,andotukan niebieski
pbmtou1,andotukan pstrodzioby
bbmtou1,andotukan czarnodzioby
tobhum1,zębodziobek
somgre1,bilbil zuchwały
horscr1,skrzydłoszpon rogaty
anhing,wężówka amerykańska
darter2,wężówka indyjska
darter4,wężówka australijska
sbmtan1,andagra czerwonoucha
lamtan1,andagra żółtoucha
bwmtan1,andagra żółtołbista
hyamac1,modroara hiacyntowa
indmac1,modroara błękitna
buchor1,dzioborożec perukowy
bugnod,rybołówka polinezyjska
blknod,rybołówka atolowa
brnnod,rybołówka brunatna
lesnod1,rybołówka cienkodzioba
gwfgoo,gęś białoczelna
gragoo,gęgawa
pifgoo,gęś krótkodzioba
snogoo,śnieżyca duża
empgoo,śnieżyca cesarska
swagoo1,gęś łabędzionosa
lwfgoo,gęś mała
taibeg1,gęś zbożowa
bahgoo,gęś tybetańska
rosgoo,śnieżyca mała
tunbeg1,gęś tundrowa
maggoo1,bezpłetwiec
whgfly1,gardłówka białobroda
rubfly3,gardłówka rdzawobrewa
orbsun2,nektarnik przylądkowy
redwat1,koralicowiec czerwony
bruwat1,koralicowiec kosmaty
litwat1,koralicowiec mały
yelwat1,koralicowiec żółty
reghon1,koralicowiec królewski
nezbel1,szmaragdowiec (zwyczajny)
soptit1,remizek żółtobrzuchy
mcptit1,remizek blady
orphor1,dzioborożec białobrzuchy
maphor1,dzioborożec orientalny
blahor1,dzioborożec białodzioby
bltman1,węglik czarnogardły
pltsun2,nektarzyk żółtobrzuchy
kvbsun1,nektarzyk sawannowy
blucra2,żuraw rajski
demcra1,żuraw stepowy
berpip1,świergotek kanaryjski
parpip1,świergotek andyjski
tawpip1,świergotek polny
retpip,świergotek rdzawogardły
chapip1,świergotek paragwajski
afrpip1,świergotek cynamonowy
corpip1,świergotek patagoński
yetpip1,świergotek natalski
shbpip1,świergotek krótkodzioby
blypip1,świergotek stepowy
