mobtan1,mobtan1
bagtan2,bagtan2
polpar1,polpar1
uplsan,uplsan
rufmot1,rufmot1
rucmot2,rucmot2
gobwar1,gobwar1
gcrwar,gcrwar
rucwar4,rucwar4
fatwar,fatwar
blcwar1,blcwar1
thswar5,thswar5
rucwar,rucwar
thbwar2,thbwar2
thswar1,thswar1
whehum,whehum
giaant2,giaant2
bkfruw1,bkfruw1
capbat1,capbat1
bkhbat1,bkhbat1
shtbat1,shtbat1
chibat1,chibat1
gyhbat1,gyhbat1
pygbat1,pygbat1
pribat1,pribat1
palbat1,palbat1
javfro2,javfro2
larfro1,larfro1
sunfro1,sunfro1
hodfro1,hodfro1
ceyfro1,ceyfro1
phifro1,phifro1
goufro1,goufro1
whchor2,whchor2
potpal1,potpal1
lobber1,lobber1
bawfly1,bawfly1
whbant2,whbant2
musduc1,musduc1
gyhbri1,gyhbri1
lesbri2,lesbri2
combri2,combri2
baywoo1,baywoo1
marwoo1,marwoo1
butcor1,butcor1
vepcor1,vepcor1
chbcor1,chbcor1
guaiab1,guaiab1
barpar1,barpar1
andpar1,andpar1
brihon1,brihon1
cedwax,cedwax
bohwax,bohwax
japwax1,japwax1
rufgro,rufgro
watibi1,watibi1
hadibi1,hadibi1
amebit,amebit
grebit1,grebit1
whtjac1,whtjac1
brojac2,brojac2
pubbul1,pubbul1
blhbul1,blhbul1
bawbul2,bawbul2
gyhbul1,gyhbul1
yewbul1,yewbul1
whbsho4,whbsho4
whbsho6,whbsho6
rubsho1,rubsho1
lessho1,lessho1
whbsho12,whbsho12
marmur,marmur
afgfly1,afgfly1
afbwar1,afbwar1
afswar1,afswar1
bretai1,bretai1
wwswar1,wwswar1
cibwar1,cibwar1
camscw1,camscw1
knswar1,knswar1
brant,brant
cangoo,cangoo
cacgoo1,cacgoo1
bargoo,bargoo
hawgoo,hawgoo
yecpar,yecpar
gowpar2,gowpar2
cowpar1,cowpar1
orcpar,orcpar
gycpar1,gycpar1
tuipar1,tuipar1
plapar1,plapar1
whwpar,whwpar
wbbwea1,wbbwea1
rbbwea1,rbbwea1
spoeao2,spoeao2
roeowl1,roeowl1
eueowl1,eueowl1
dueowl1,dueowl1
veeowl1,veeowl1
sbeowl1,sbeowl1
snoowl1,snoowl1
baeowl1,baeowl1
grhowl,grhowl
categr,categr
trufin2,trufin2
yesbar1,yesbar1
colpuf1,colpuf1
chcpuf1,chcpuf1
spopuf1,spopuf1
buffle,buffle
comgol,comgol
bargol,bargol
grehor1,grehor1
rufhor1,rufhor1
rhihor1,rhihor1
helhor1,helhor1
soghor1,soghor1
bulpet,bulpet
yeboxp1,yeboxp1
reboxp1,reboxp1
dstkne,dstkne
sptkne1,sptkne1
butkne1,butkne1
indthk1,indthk1
eutkne1,eutkne1
setkne1,setkne1
petkne1,petkne1
watkne1,watkne1
blchaw1,blchaw1
gyfbuz1,gyfbuz1
whebuz1,whebuz1
whthaw1,whthaw1
zothaw,zothaw
augbuz1,augbuz1
madbuz1,madbuz1
shthaw,shthaw
combuz1,combuz1
rethaw,rethaw
combuz6,combuz6
rolhaw,rolhaw
reshaw,reshaw
gryhaw3,gryhaw3
moubuz2,moubuz2
gryhaw2,gryhaw2
brwhaw,brwhaw
ferhaw,ferhaw
ridhaw1,ridhaw1
hawhaw,hawhaw
swahaw,swahaw
comblh1,comblh1
croeag1,croeag1
savhaw1,savhaw1
slchaw2,slchaw2
soleag1,soleag1
grbhaw1,grbhaw1
