sptkne1,Spotted Thick-knee
butkne1,Bush Thick-knee
indthk1,Indian Thick-knee
eutkne1,Occhione
setkne1,Senegal Thick-knee
petkne1,Peruvian Thick-knee
watkne1,Water Thick-knee
blchaw1,Black-collared Hawk
gyfbuz1,Gray-faced Buzzard
whebuz1,White-eyed Buzzard
whthaw1,White-throated Hawk
zothaw,Zone-tailed Hawk
augbuz1,Augur Buzzard
madbuz1,Madagascar Buzzard
shthaw,Short-tailed Hawk
combuz1,Poiana
rethaw,Red-tailed Hawk
combuz6,Eastern Buzzard
rolhaw,Poiana calzata
reshaw,Red-shouldered Hawk
gryhaw3,Gray-lined Hawk
moubuz2,Mountain Buzzard
gryhaw2,Gray Hawk
brwhaw,Broad-winged Hawk
ferhaw,Ferruginous Hawk
ridhaw1,Ridgway's Hawk
hawhaw,Hawaiian Hawk
swahaw,Swainson's Hawk
comblh1,Common Black Hawk
croeag1,Chaco Eagle
