rutbuh1,Râle des Moluques
whbwat1,Râle à poitrine blanche
blusee1,Évêque bleu
blbsee3,Évêque noirâtre
honeme1,Ariane de Lucy
cinhum1,Ariane cannelle
rtlhum,Ariane à ventre gris
bubhum,Ariane du Yucatan
amahum1,Ariane de Lesson
bufpar,Amazone à front bleu
blbpar1,Amazone verte
whfpar1,Amazone à front blanc
orwpar,Amazone aourou
yenpar1,Amazone à nuque d'or
relpar,Amazone à lores rouges
retpar1,Amazone à joues bleues
blcpar2,Amazone de Dufresne
meapar,Amazone poudrée
fespar1,Amazone tavoua
licpar,Amazone à couronne lilas
kawpar1,Amazone de Kawall
cubpar1,Amazone de Cuba
scnpar1,Amazone mercenaire
ywcpar,Amazone à front jaune
yehpar,Amazone à tête jaune
rebpar7,Amazone à sourcils rouges
tucpar1,Amazone de Tucuman
hispar1,Amazone d'Hispaniola
vinpar1,Amazone vineuse
recpar,Amazone à joues vertes
yelpar1,Amazone du Yucatan
bratea1,Canard amazonette
yebcac1,Cassique à bec jaune
t-11838680,Clicker Round-winged Katydid
t-11851326,Common Virtuoso Katydid
t-11845584,Oblong-winged Katydid
t-11854789,Rattler Round-winged Katydid
golbow1,Golden Bowerbird
growea1,Amblyospize à front blanc
schbla1,Carouge à tête rouge
yebspa1,Bruant à front d'or
graspa1,Bruant des savanes
graspa,Bruant sauterelle
batlar1,Ammomane élégante
deslar1,Ammomane isabelline
rutlar2,Ammomane à queue rouge
gybant1,Alapi à ventre gris
sstspa,Bruant à queue aiguë
lecspa,Bruant de LeConte
seaspa,Bruant maritime
nstspa,Bruant de Nelson
scafru1,Cotinga écaillé
reccot1,Cotinga à huppe rouge
chccot1,Cotinga à tête rousse
gyhant1,Alapi à tête grise
bktspa,Bruant à gorge noire
fisspa,Bruant pentaligne
whbfog1,Anabate bridé
obfgle2,Anabate de Lichtenstein
rutfog1,Anabate rougequeue
mofgle1,Anabate montagnard
stfgle1,Anabate à lunettes
ducfog1,Anabate à grands sourcils
wcfgle1,Anabate à col blanc
abttyr1,Taurillon gris
ybttyr1,Taurillon à bec jaune
bkctit1,Taurillon à cimier noir
tuttyr1,Taurillon mésange
pcttyr1,Taurillon roitelet
norpin,Canard pilet
spetea3,Sarcelle des Andes
chetea1,Sarcelle rousse
gnwtea,Sarcelle d'hiver
mexduc,Canard du Mexique
yebtea1,Sarcelle tachetée
motduc,Canard brun
yebpin1,Canard à queue pointue
gretea1,Sarcelle australasienne
mallar3,Canard colvert
isbduc1,Canard à bec tacheté
ambduc,Canard noir
pabduc1,Canard à sourcils
yebduc1,Canard à bec jaune
hawduc,Canard des Hawaï
spbduc,Canard de Chine
asiope1,Bec-ouvert indien
t-11847882,Say's Trig
t-11140103,American Toad
t-11050888,Yosemite Toad
t-11100978,Great Plains Toad
t-11132206,Fowler's Toad
t-11153124,Houston Toad
t-11160924,Arizona Toad
t-11107100,Oak Toad
t-11051816,Texas Toad
t-11045871,Southern Toad
t-11105570,Woodhouse's Toad
chwhoo1,Anabate à bec crochu
gybmot1,Toucan bleu
pbmtou1,Toucan montagnard
bbmtou1,Toucan à bec noir
tobhum1,Colibri d'Équateur
somgre1,Bulbul importun
horscr1,Kamichi cornu
anhing,Anhinga d'Amérique
darter2,Anhinga roux
darter4,Anhinga d'Australie
sbmtan1,Tangara à ventre rouge
lamtan1,Tangara larmoyant
bwmtan1,Tangara somptueux
hyamac1,Ara hyacinthe
indmac1,Ara de Lear
buchor1,Calao largup
bugnod,Noddi bleu
blknod,Noddi noir
brnnod,Noddi brun
lesnod1,Noddi marianne
gwfgoo,Oie rieuse
gragoo,Oie cendrée
pifgoo,Oie à bec court
snogoo,Oie des neiges
empgoo,Oie empereur
swagoo1,Oie cygnoïde
lwfgoo,Oie naine
taibeg1,Oie des moissons
bahgoo,Oie à tête barrée
rosgoo,Oie de Ross
tunbeg1,Oie de la toundra
maggoo1,Canaroie semipalmée
whgfly1,Gobemouche à gorge blanche
rubfly3,Gobemouche à face rousse
orbsun2,Souimanga orangé
redwat1,Méliphage barbe-rouge
bruwat1,Méliphage à gouttelettes
litwat1,Méliphage mineur
yelwat1,Méliphage à pendeloques
reghon1,Méliphage régent
nezbel1,Méliphage carillonneur
soptit1,Rémiz minute
mcptit1,Rémiz souris
orphor1,Calao pie
maphor1,Calao de Malabar
blahor1,Calao charbonnier
bltman1,Mango à cravate noire
pltsun2,Souimanga à gorge brune
kvbsun1,Souimanga du Kenya
blucra2,Grue de paradis
demcra1,Grue demoiselle
berpip1,Pipit de Berthelot
parpip1,Pipit du paramo
tawpip1,Pipit rousseline
retpip,Pipit à gorge rousse
chapip1,Pipit du Chaco
afrpip1,Pipit africain
corpip1,Pipit correndera
yetpip1,Pipit des rochers
shbpip1,Pipit à plastron
blypip1,Pipit de Godlewski
pecpip,Pipit de la Petchora
helpip1,Pipit de Hellmayr
olbpip,Pipit à dos olive
plbpip1,Pipit à dos uni
strpip1,Pipit de Sundevall
yelpip2,Yellowish Pipit
ocbpip1,Pipit ocré
auspip1,Pipit de Nouvelle-Zélande
yelpip3,Pipit du Pérou
rocpip1,Pipit maritime
meapip1,Pipit farlouse
ricpip1,Pipit de Richard
rospip1,Pipit rosé
amepip,Pipit d'Amérique
oripip1,Pipit rousset
lobpip1,Pipit à long bec
watpip1,Pipit spioncelle
sprpip,Pipit de Sprague
uplpip1,Pipit montagnard
trepip,Pipit des arbres
sarcra1,Grue antigone
sancra,Grue du Canada
brolga1,Grue brolga
whncra1,Grue à cou blanc
araman1,Manakin de Bokermann
helman1,Manakin casqué
souwpw1,Engoulevent d'Arizona
yucnig1,Engoulevent maya
chwwid,Engoulevent de Caroline
purnig1,Engoulevent de Porto Rico
bucnig,Engoulevent de Ridgway
rufnig1,Engoulevent roux
tacnig1,Engoulevent de Salvin
dusnig1,Engoulevent montagnard
sitnig1,Engoulevent à queue de soie
easwpw1,Engoulevent bois-pourri
firgat1,Annumbi fagoteur
chhcra1,Chestnut-headed Crake
blbcra1,Râle fascié
ruccra1,Russet-crowned Crake
brhapa1,Apalis à tête brune
chaapa1,Apalis de Chapin
gryapa1,Apalis cendrée
yebapa1,Apalis à gorge jaune
bltapa1,Apalis à gorge noire
blhapa1,Apalis à tête noire
blfapa1,Apalis à face noire
chtapa3,Apalis à gorge marron
rudapa1,Apalis de Rudd
butapa1,Apalis à gorge rousse
shaapa2,Apalis de Sharpe
batapa2,Apalis à collier
nartro1,Trogon narina
battro1,Trogon à queue barrée
blbfly1,Moucherolle à bec noir
tacfly1,Moucherolle à poitrine fauve
souwhi1,Acanthize blanchâtre
cowscj1,Geai buissonnier
flsjay,Geai à gorge blanche
mexjay3,Geai des volcans
unijay1,Geai unicolore
mexjay4,Geai du Mexique
wooscj2,Geai de Woodhouse
thtray1,Synallaxe rayadito
t-11139707,Honey Bee
samsta1,Stourne de Samoa
brwsta1,Stourne des Salomon
metsta1,Stourne luisant
molsta1,Stourne des Moluques
micsta1,Stourne de Micronésie
asgsta1,Stourne bronzé
polsta1,Stourne de Polynésie
rewpar1,Perruche érythroptère
kinpen1,Manchot royal
nibkiw1,Kiwi de Mantell
litswi1,Martinet des maisons
comswi,Martinet noir
whrswi1,Martinet cafre
alpswi1,Alpine Swift
houswi1,Martinet malais
fotswi,Martinet de Sibérie
palswi3,Martinet pâle
plaswi1,Martinet unicolore
spaeag1,Aigle ibérique
goleag,Aigle royal
impeag1,Aigle impérial
steeag1,Aigle des steppes
grgmac,Ara de Buffon
baymac,Ara bleu
ragmac1,Ara chloroptère
bltmac1,Ara canindé
scamac1,Ara rouge
milmac,Ara militaire
chfmac1,Ara vert
yeespi1,Arachnothère à joues jaunes
thbspi1,Arachnothère à bec épais
spespi2,Arachnothère à lunettes
litspi1,Petit Arachnothère
strspi1,Grand Arachnothère
runwor1,Râle à ventre blanc
rnwrai1,Râle à cou roux
gycwor1,Râle de Cayenne
sbwrai1,Râle saracura
brwrai1,Râle de Wolf
giwrai1,Râle ypécaha
limpki,Courlan brun
gocpar2,Conure à tête d'or
janpar1,Conure jandaya
bkhpar,Conure nanday
duhpar,Conure de Weddell
whcpar1,Torquéole à joues blanches
babpar1,Torquéole à poitrine brune
taipar1,Torquéole de Formose
rebpar5,Torquéole de Bornéo
chbpar1,Torquéole de Java
chbpar2,Torquéole de Mandelli
rutpar1,Torquéole à gorge rousse
hilpar1,Torquéole à collier
bkchum,Colibri à gorge noire
rthhum,Colibri à gorge rubis
greegr,Grande Aigrette
graher1,Héron cendré
cocher1,Héron cocoi
grbher3,Grand Héron
integr,Héron intermédiaire
blhher1,Héron mélanocéphale
purher1,Héron pourpré
grbher2,Héron typhon
bulshe,Puffin de Buller
flfshe,Puffin à pieds pâles
