whcpar1,koroptev bělolící
babpar1,koroptev pruhokřídlá
taipar1,koroptev tchajwanská
rebpar5,koroptev bornejská
chbpar1,koroptev jávská
chbpar2,koroptev kaštanovoprsá
rutpar1,koroptev oranžovohrdlá
hilpar1,koroptev himálajská
bkchum,kalypta černobradá
rthhum,kalypta rubínohrdlá
greegr,volavka bílá
graher1,volavka popelavá
cocher1,volavka jihoamerická
grbher3,volavka velká
integr,volavka prostřední
blhher1,volavka africká
purher1,volavka červená
grbher2,volavka šedohnědá
bulshe,buřňák šedohřbetý
flfshe,buřňák světlonohý
pifshe,buřňák růžovonohý
sooshe,buřňák temný
wetshe,buřňák klínoocasý
shtshe,buřňák tenkozobý
chpher1,volavka čínská
inpher1,volavka hnědohřbetá
squher1,volavka vlasatá
japher1,volavka nádherná
rudtur,kamenáček pestrý
blktur,kamenáček černohlavý
grearg1,argus okatý
yebbab1,Yellow-billed Babbler
combab3,argie dlouhoocasá
strbab1,Striated Babbler
lagbab2,Large Gray Babbler
junbab2,Jungle Babbler
rufbab3,Rufous Babbler
shegre1,Shelley's Greenbul
stcgre1,Stripe-cheeked Greenbul
easmog1,Eastern Mountain Greenbul
blcspa2,Black-capped Sparrow
sthbrf8,Gray-browed Brushfinch
sthbrf1,Black-headed Brushfinch
orbspa1,Orange-billed Sparrow
sthbrf4,Sierra Nevada Brushfinch
ccbfin,Chestnut-capped Brushfinch
olifin1,Olive Finch
sthbrf3,Costa Rican Brushfinch
soffin1,Sooty-faced Finch
sabspa1,Saffron-billed Sparrow
safspa1,Sao Francisco Sparrow
sthbrf5,Perija Brushfinch
gowspa1,Golden-winged Sparrow
hacspa1,Half-collared Sparrow
pecspa1,Pectoral Sparrow
sthbrf2,White-browed Brushfinch
gsbfin1,Green-striped Brushfinch
grbspa1,Green-backed Sparrow
blsspa1,Black-striped Sparrow
olispa,Olive Sparrow
tocspa1,Tocuyo Sparrow
frimon1,Frilled Monarch
blfwoo1,Black-faced Woodswallow
duswoo1,Dusky Woodswallow
ashwoo2,Ashy Woodswallow
whbwoo4,White-breasted Woodswallow
maswoo1,Masked Woodswallow
whbwoo5,White-browed Woodswallow
belspa2,Bell's Sparrow
sagspa1,Sagebrush Sparrow
afrtai2,African Tailorbird
lobtai1,Long-billed Tailorbird
thbwar1,rákosník tlustozobý
whmtyr1,White-headed Marsh Tyrant
soogra2,Sooty Grassquit
ducgra2,Dull-colored Grassquit
strowl1,kalous proužkovaný
sheowl,kalous pustovka
jamowl1,kalous jamajský
loeowl,kalous ušatý
styowl1,kalous americký
bltmot1,momot modrohrdlý
auscan1,Austral Canastero
shbcan1,Short-billed Canastero
ocbthi1,Ochre-browed Thistletail
crbcan1,Creamy-breasted Canastero
mascan1,Many-striped Canastero
whcthi1,White-chinned Thistletail
mocthi1,Mouse-colored Thistletail
bltthi1,Black-throated Thistletail
punthi1,Puna Thistletail
maqcan1,Maquis Canastero
hudcan1,Hudson's Canastero
sttcan1,Streak-throated Canastero
sctcan1,Scribble-tailed Canastero
corcan1,Cordilleran Canastero
itaspi1,Itatiaia Spinetail
rufcan1,Rusty-fronted Canastero
eyrthi1,Eye-ringed Thistletail
perthi1,Perija Thistletail
cancan1,Canyon Canastero
shbcan2,Sharp-billed Canastero
puncan1,Puna Canastero
lifcan1,Line-fronted Canastero
juncan1,Junin Canastero
stbcan1,Streak-backed Canastero
peptyr1,Pale-eyed Pygmy-Tyrant
rhgrol1,kurolec rezavohlavý
plgrol1,kurolec pitovitý
forowl1,sýček indický
spoowl1,sýček brahmínský
burowl,sýček králičí
litowl1,sýček obecný
whbowl1,sýček madagaskarský
yetgre1,Yellow-throated Greenbul
t-11844441,Protean Shieldback
wnbfin1,White-naped Brushfinch
mobfin1,Moustached Brushfinch
ysbfin1,Yellow-striped Brushfinch
yehbrf1,Yellow-headed Brushfinch
fhbfin1,Fulvous-headed Brushfinch
dhbfin1,Dusky-headed Brushfinch
yebbrf1,Yellow-breasted Brushfinch
wrbfin1,White-rimmed Brushfinch
wwbfin1,White-winged Brushfinch
smbfin1,Santa Marta Brushfinch
bkfbrf1,Black-faced Brushfinch
phbfin1,Pale-headed Brushfinch
pnbfin1,Pale-naped Brushfinch
tebfin1,Tepui Brushfinch
rcbfin1,Rufous-capped Brushfinch
rebfin1,Rufous-eared Brushfinch
rnbfin1,Bolivian Brushfinch
slbfin2,Slaty Brushfinch
obbfin1,Ochre-breasted Brushfinch
yetfin1,Yellow-thighed Brushfinch
trbfin1,Tricolored Brushfinch
nosbir1,Noisy Scrub-bird
rusbir1,Rufous Scrub-bird
rubsee2,písečník rezavý
whbswa2,White-banded Swallow
blcswa1,Black-capped Swallow
whtswa1,White-thighed Swallow
ducatt1,Dull-capped Attila
cinatt1,Cinnamon Attila
cibatt1,Citron-bellied Attila
rutatt1,Rufous-tailed Attila
gyhatt1,Gray-hooded Attila
brratt1,Bright-rumped Attila
ochatt1,Ochraceous Attila
hoovis2,kolibřík krajkový
hyavis1,kolibřík čabrakový
souemt1,arassari bělohrdlý
blbtou1,arassari modropruhý
chttou3,arassari bledohrdlý
crrtou1,arassari rudokostřečný
noremt1,arassari smaragdový
grbtou1,arassari modrolící
verdin,Verdin
butfog4,Chiriqui Foliage-gleaner
obfgle3,Olive-backed Foliage-gleaner
wefgle1,White-eyed Foliage-gleaner
brfgle1,Brown-rumped Foliage-gleaner
btfgle1,Buff-throated Foliage-gleaner
parfog1,Para Foliage-gleaner
ccfgle2,Chestnut-crowned Foliage-gleaner
strwoo1,Striped Woodhaunter (Eastern South America)
jerbaz1,aviceda hnědá
blabaz1,aviceda černá
pacbaz1,aviceda hnědohřbetá
lessca,polák vlnkovaný
redhea,polák americký
